id,score
18142,0.97988474
18143,0.7347873
18144,0.28517696
18145,1.0
18146,0.9816196
18147,1.0
18148,0.030258447
18149,1.0
18150,5.256526e-07
18151,0.99999976
18152,0.8998556
18153,0.536049
18154,0.6402538
18155,0.049861904
18156,0.9999995
18157,0.67190677
18158,0.8166209
18159,0.14582719
18160,0.87430614
18161,0.7103996
18162,0.996967
18163,0.9811219
18164,0.98400027
18165,0.7840389
18166,0.9999486
18167,0.78164285
18168,0.6142358
18169,1.0
18170,0.88099194
18171,0.9999999
18172,1.0
18173,0.91610396
18174,0.7441539
18175,0.94371915
18176,0.9904179
18177,0.7126012
18178,0.43032953
18179,0.9176924
18180,0.020130057
18181,0.9995005
18182,0.9982603
18183,0.95275193
18184,0.96354043
18185,0.76921123
18186,0.52220446
18187,0.915879
18188,0.81422615
18189,0.3081573
18190,1.0
18191,0.20786005
18192,0.6317212
18193,0.9925006
18194,0.65473884
18195,0.77720773
18196,0.0005038365
18197,0.7869437
18198,0.9972778
18199,0.9999875
18200,0.4173444
18201,0.48121956
18202,0.47884643
18203,0.9995147
18204,0.26666728
18205,0.28149948
18206,0.98309475
18207,0.9994305
18208,0.4983165
18209,0.7529727
18210,0.26407772
18211,0.67685086
18212,0.26288897
18213,0.9901674
18214,0.8168913
18215,0.86721206
18216,0.10522481
18217,0.46168405
18218,0.64711285
18219,0.98587036
18220,0.13786557
18221,0.6440692
18222,6.320731e-05
18223,0.43432686
18224,0.031443115
18225,0.8883927
18226,0.9992632
18227,0.0364824
18228,0.81146824
18229,0.9963761
18230,0.9831238
18231,1.0
18232,0.91340727
18233,0.9999999
18234,0.33561465
18235,0.9999999
18236,1.0
18237,0.899462
18238,0.00010535349
18239,0.99976295
18240,0.9940805
18241,0.99774665
18242,0.99999607
18243,1.0
18244,0.9999924
18245,0.9999713
18246,0.85871184
18247,0.10075495
18248,0.99928564
18249,0.9999577
18250,0.9984484
18251,1.0
18252,0.65726805
18253,0.52267534
18254,0.99974424
18255,1.0
18256,0.784154
18257,0.12731992
18258,0.5792236
18259,0.8845857
18260,0.0959551
18261,0.59278345
18262,0.8984055
18263,0.9863462
18264,0.54322296
18265,0.12454192
18266,0.99999976
18267,0.80290776
18268,0.9973465
18269,0.17354825
18270,0.64013267
18271,0.96487945
18272,1.0
18273,0.7788029
18274,0.76471317
18275,0.119286224
18276,0.9783854
18277,0.9332275
18278,1.0
18279,0.028647708
18280,0.55491936
18281,0.22176573
18282,1.0
18283,0.9999995
18284,0.50005066
18285,0.9894868
18286,0.6806761
18287,0.48688343
18288,0.94650996
18289,0.9566514
18290,0.9813803
18291,0.99995935
18292,0.9964185
18293,0.48342583
18294,0.9924366
18295,1.0
18296,0.27913672
18297,0.02047986
18298,0.99999905
18299,0.91628623
18300,0.7656647
18301,0.53608865
18302,0.46778542
18303,0.5962258
18304,0.10720149
18305,0.87794656
18306,0.99510926
18307,0.0018667645
18308,0.9866443
18309,0.1409926
18310,0.4823113
18311,0.92034066
18312,0.74421287
18313,0.124682695
18314,0.20596956
18315,0.9789817
18316,0.9970029
18317,0.8871847
18318,0.08271051
18319,0.99814904
18320,0.8960188
18321,0.093335375
18322,0.69344324
18323,0.98857427
18324,0.998528
18325,0.9951226
18326,0.61219966
18327,0.7601997
18328,0.75449526
18329,5.909467e-08
18330,0.9603276
18331,0.1089526
18332,0.078641966
18333,1.0
18334,0.72113866
18335,1.0
18336,0.14617282
18337,0.9944571
18338,0.9997824
18339,0.99999607
18340,0.9943381
18341,0.9996655
18342,0.00967451
18343,0.9666786
18344,0.9988531
18345,0.999403
18346,0.9931189
18347,0.3665838
18348,0.99989414
18349,0.019377053
18350,0.63148856
18351,0.0014386277
18352,0.69961405
18353,0.7707648
18354,0.78079754
18355,0.56709516
18356,0.9710161
18357,0.31044582
18358,0.004113811
18359,0.47087377
18360,0.99999976
18361,0.9999999
18362,0.9532326
18363,0.6864613
18364,0.7385612
18365,0.49548015
18366,0.66791856
18367,0.96502566
18368,0.92994696
18369,0.9716107
18370,0.98346436
18371,1.0
18372,0.99891686
18373,0.045184765
18374,0.9912061
18375,0.0074877716
18376,0.9920621
18377,0.7537001
18378,0.436842
18379,0.3436473
18380,0.83678657
18381,0.71840304
18382,0.99053067
18383,0.71790427
18384,0.6650975
18385,0.030846843
18386,0.11878941
18387,0.6451752
18388,0.99999976
18389,0.78161925
18390,0.9345689
18391,1.0
18392,0.65996367
18393,0.0005506355
18394,0.9984829
18395,0.9538952
18396,0.9444131
18397,0.97013825
18398,0.99824584
18399,0.9999999
18400,0.9607236
18401,1.7374687e-05
18402,0.992774
18403,0.07611631
18404,0.98888844
18405,1.0
18406,0.98527193
18407,0.19616313
18408,0.9999999
18409,1.0
18410,0.98739433
18411,1.0
18412,0.25822017
18413,0.13521579
18414,0.9999869
18415,1.0
18416,0.66129124
18417,0.9999994
18418,1.0
18419,0.35811675
18420,0.97608256
18421,0.56164956
18422,0.9999821
18423,0.7350343
18424,0.98603386
18425,0.9887446
18426,0.83837146
18427,0.793951
18428,0.8170137
18429,1.0
18430,0.9964121
18431,0.8086672
18432,0.2791531
18433,0.6288593
18434,0.56206095
18435,0.9540517
18436,0.29013294
18437,0.17341048
18438,0.16172346
18439,0.9999945
18440,0.00086239656
18441,0.23291771
18442,0.1906173
18443,0.99451584
18444,0.99997485
18445,0.84893394
18446,0.8191819
18447,1.0
18448,0.99999535
18449,0.7855748
18450,0.6204103
18451,0.94318604
18452,0.8531707
18453,0.9999999
18454,1.0
18455,0.99895084
18456,0.049732823
18457,0.9838352
18458,0.9994906
18459,0.376639
18460,1.0
18461,0.99976605
18462,0.9845777
18463,0.91154206
18464,0.9691998
18465,0.43071747
18466,0.96255255
18467,0.14620224
18468,0.85197896
18469,1.0
18470,0.069722086
18471,0.99983525
18472,0.13795012
18473,0.95188224
18474,0.95587695
18475,0.78103775
18476,0.82148236
18477,0.00040294786
18478,0.04447261
18479,0.7832905
18480,0.10788852
18481,0.68276536
18482,0.99446785
18483,0.964316
18484,0.99962115
18485,0.86964864
18486,0.99970704
18487,0.0018313567
18488,0.9821354
18489,0.5995503
18490,0.9472301
18491,0.5017698
18492,0.0011032951
18493,0.38605297
18494,0.12825474
18495,0.944291
18496,0.2619019
18497,0.83453125
18498,0.9911464
18499,0.57541406
18500,0.7213103
18501,0.99931955
18502,0.9782712
18503,0.99970573
18504,0.59155387
18505,0.9622497
18506,0.3152166
18507,0.019167332
18508,0.017188506
18509,0.7333982
18510,0.08679116
18511,0.6793884
18512,0.99741215
18513,0.99999356
18514,0.5674438
18515,0.99871755
18516,0.48764253
18517,1.0
18518,0.76486593
18519,0.6118084
18520,0.41390023
18521,0.7339535
18522,0.91361517
18523,0.99991894
18524,0.97408426
18525,0.44434923
18526,0.96929
18527,1.0
18528,0.49108443
18529,1.0
18530,0.48332885
18531,0.9756797
18532,0.0017228344
18533,0.9640158
18534,0.9423704
18535,0.70728296
18536,0.99999976
18537,0.38748112
18538,0.9999933
18539,1.0
18540,0.986736
18541,0.52046645
18542,0.0004384648
18543,0.80456066
18544,0.43849447
18545,0.73232204
18546,0.22674875
18547,0.99995553
18548,0.89849824
18549,0.96624213
18550,0.8868074
18551,0.968996
18552,0.6492378
18553,0.9876958
18554,0.87678427
18555,0.22110862
18556,0.34208682
18557,0.003772543
18558,0.0020644108
18559,0.9671856
18560,0.99982494
18561,0.57731193
18562,0.9256347
18563,0.08772334
18564,0.9999788
18565,0.9173584
18566,0.9999999
18567,0.3047712
18568,0.89483786
18569,0.16619155
18570,0.16224478
18571,0.9999814
18572,0.99987054
18573,1.0
18574,0.9837245
18575,0.9999995
18576,0.054020476
18577,1.0
18578,0.99363375
18579,0.99104345
18580,0.14392312
18581,0.98642343
18582,1.0
18583,0.326122
18584,0.9909065
18585,0.99934167
18586,0.012892207
18587,0.023435742
18588,0.5765908
18589,0.34457666
18590,0.92552584
18591,0.891347
18592,0.6177036
18593,0.6301121
18594,1.0
18595,0.9994992
18596,0.57325727
18597,0.98315203
18598,0.9205444
18599,0.010019661
18600,0.34943292
18601,0.7552594
18602,0.047941606
18603,0.99993765
18604,0.7327917
18605,0.35997376
18606,0.9999987
18607,0.08505725
18608,0.81481403
18609,1.0
18610,0.38126355
18611,0.9999939
18612,0.30374005
18613,2.7736543e-05
18614,0.14270769
18615,0.9382579
18616,1.0
18617,0.4908249
18618,0.56369907
18619,0.7252053
18620,0.55562174
18621,0.9997824
18622,0.99517065
18623,0.6861838
18624,1.0
18625,0.9997682
18626,0.9666218
18627,0.7099325
18628,0.984486
18629,0.9999962
18630,0.99959415
18631,0.8676019
18632,0.97808516
18633,0.9431354
18634,0.42901027
18635,0.23511538
18636,0.85532135
18637,0.8227735
18638,0.99460393
18639,0.9772504
18640,0.99979264
18641,0.2208815
18642,0.4918982
18643,0.3746491
18644,1.0
18645,1.0
18646,0.8104346
18647,0.78511965
18648,0.9077898
18649,0.0013612553
18650,0.13301858
18651,0.7174429
18652,0.9999765
18653,0.62903166
18654,0.9516126
18655,0.062195614
18656,0.31863543
18657,0.98838335
18658,0.03323041
18659,0.040832438
18660,0.18510967
18661,0.21884182
18662,0.5544931
18663,0.8563871
18664,0.3784275
18665,0.8822056
18666,0.9999826
18667,0.32836685
18668,0.055985797
18669,0.99999976
18670,1.0
18671,0.21976991
18672,0.9232078
18673,0.9999999
18674,0.6857262
18675,1.0
18676,0.9519423
18677,0.017944617
18678,0.9995641
18679,1.0
18680,0.87868094
18681,0.9999801
18682,1.0
18683,1.0
18684,1.0
18685,0.74352115
18686,0.7820849
18687,0.52642244
18688,0.49756834
18689,0.84961474
